SampleID,sampleType,MouseID,MouseSex,Diet,Date,Time,Vendor,ExperimentID,ExperimentDay,StoolCollected,Sacrificed,BaseWeight,DayWeight,PercChange,Temperature,,,,,,,,,
CDD01.CR.Chow.1.23,stool,,Male,Chow,2/1/24,,CharlesRiver,CDD01,23,T,F,23.6,27,14.40677966,92.6,,,,,,,,,
CDD01.CR.Chow.2.23,stool,,Male,Chow,2/1/24,,CharlesRiver,CDD01,23,T,F,21.8,21,-3.669724771,92.4,,,,,,,,,
CDD01.Tc.Chow.1.24,stool,,Male,Chow,2/2/24,9:45,Taconic,CDD01,24,T,F,25.4,26,2.362204724,88.6,,,,,,,,,
CDD01.Tc.Chow.2.24,stool,,Male,Chow,2/2/24,9:45,Taconic,CDD01,24,T,F,22.3,22.6,1.34529148,87.2,,,,,,,,,
CDD01.Tc.LFLF.3.24,stool,,Male,LFLF,2/2/24,17:00,Taconic,CDD01,24,T,F,25.5,21.9,-14.11764706,89.3,,,,,,,,,
CDD01.CR.Chow.1.24,stool,,Male,Chow,2/2/24,9:45,CharlesRiver,CDD01,24,T,F,23.6,27.3,15.6779661,87.1,,,,,,,,,
CDD01.CR.Chow.2.24,stool,,Male,Chow,2/2/24,9:45,CharlesRiver,CDD01,24,T,F,21.8,21.1,-3.211009174,90.4,,,,,,,,,
CDD01.Tc.Chow.1.25,stool,,Male,Chow,2/3/24,10:00,Taconic,CDD01,25,T,F,25.4,26.4,3.937007874,89.7,,,,,,,,,
CDD01.Tc.Chow.2.25,stool,,Male,Chow,2/3/24,10:00,Taconic,CDD01,25,T,F,22.3,22.9,2.69058296,90.6,,,,,,,,,
CDD01.Tc.LFLF.3.25,stool,,Male,LFLF,2/3/24,10:00,Taconic,CDD01,25,T,F,25.5,22.8,-10.58823529,87.6,,,,,,,,,
CDD01.CR.Chow.1.25,stool,,Male,Chow,2/3/24,10:00,CharlesRiver,CDD01,25,T,F,23.6,27.3,15.6779661,91.5,,,,,,,,,
CDD01.CR.Chow.2.25,stool,,Male,Chow,2/3/24,10:00,CharlesRiver,CDD01,25,T,F,21.8,20.8,-4.587155963,89,,,,,,,,,
CDD01.Tc.Chow.1.26,stool,,Male,Chow,2/4/24,10:30,Taconic,CDD01,26,T,F,25.4,26.6,4.724409449,89.6,,,,,,,,,
CDD01.Tc.Chow.2.26,stool,,Male,Chow,2/4/24,10:30,Taconic,CDD01,26,T,F,22.3,22.5,0.896860987,89.7,,,,,,,,,
CDD01.Tc.LFLF.3.26,stool,,Male,LFLF,2/4/24,10:30,Taconic,CDD01,26,T,F,25.5,23.7,-7.058823529,88.7,,,,,,,,,
CDD01.CR.Chow.1.26,stool,,Male,Chow,2/4/24,10:30,CharlesRiver,CDD01,26,T,F,23.6,26.9,13.98305085,89.9,,,,,,,,,
CDD01.CR.Chow.2.26,stool,,Male,Chow,2/4/24,10:30,CharlesRiver,CDD01,26,T,F,21.8,21.1,-3.211009174,89.3,,,,,,,,,
CDD01.Tc.Chow.1.27,stool,,Male,Chow,2/5/24,9:45,Taconic,CDD01,27,T,F,25.4,26.2,3.149606299,89.5,,,,,,,,,
CDD01.Tc.Chow.2.27,stool,,Male,Chow,2/5/24,9:45,Taconic,CDD01,27,T,F,22.3,22.3,0,90.8,,,,,,,,,
CDD01.Tc.LFLF.3.27,stool,,Male,LFLF,2/5/24,9:45,Taconic,CDD01,27,T,F,25.5,24.3,-4.705882353,88.4,,,,,,,,,
CDD01.CR.Chow.1.27,stool,,Male,Chow,2/5/24,9:45,CharlesRiver,CDD01,27,T,F,23.6,26.9,13.98305085,88.6,,,,,,,,,
CDD01.CR.Chow.2.27,stool,,Male,Chow,2/5/24,9:45,CharlesRiver,CDD01,27,T,F,21.8,21.1,-3.211009174,90.4,,,,,,,,,
CDD01.Tc.Chow.1.28,stool,,Male,Chow,2/6/24,9:45,Taconic,CDD01,28,T,F,25.4,26.2,3.149606299,89,,,,,,,,,
CDD01.Tc.Chow.2.28,stool,,Male,Chow,2/6/24,9:45,Taconic,CDD01,28,T,F,22.3,22.2,-0.448430493,90.7,,,,,,,,,
CDD01.Tc.LFLF.3.28,stool,,Male,LFLF,2/6/24,9:45,Taconic,CDD01,28,T,F,25.5,24.3,-4.705882353,90.4,,,,,,,,,
CDD01.CR.Chow.1.28,stool,,Male,Chow,2/6/24,9:45,CharlesRiver,CDD01,28,T,F,23.6,27,14.40677966,89,,,,,,,,,
CDD01.CR.Chow.2.28,stool,,Male,Chow,2/6/24,9:45,CharlesRiver,CDD01,28,T,F,21.8,21.2,-2.752293578,88.7,,,,,,,,,
CDD01.Tc.Chow.1.29,stool,,Male,Chow,2/7/24,9:45,Taconic,CDD01,29,T,F,25.4,26.1,2.755905512,87,,,,,,,,,
CDD01.Tc.Chow.2.29,stool,,Male,Chow,2/7/24,9:45,Taconic,CDD01,29,T,F,22.3,22.9,2.69058296,86,,,,,,,,,
CDD01.Tc.LFLF.3.29,stool,,Male,LFLF,2/7/24,9:45,Taconic,CDD01,29,T,F,25.5,24.5,-3.921568627,81,,,,,,,,,
CDD01.CR.Chow.1.29,stool,,Male,Chow,2/7/24,9:45,CharlesRiver,CDD01,29,T,F,23.6,27.5,16.52542373,88.1,,,,,,,,,
CDD01.CR.Chow.2.29,stool,,Male,Chow,2/7/24,9:45,CharlesRiver,CDD01,29,T,F,21.8,21.8,0,88.3,,,,,,,,,
CDD01.Tc.Chow.1.30,stool,,Male,Chow,2/8/24,9:45,Taconic,CDD01,30,T,F,25.4,26,2.362204724,88.8,,,,,,,,,
CDD01.Tc.Chow.2.30,stool,,Male,Chow,2/8/24,9:45,Taconic,CDD01,30,T,F,22.3,22.9,2.69058296,87.7,,,,,,,,,
CDD01.Tc.LFLF.3.30,stool,,Male,LFLF,2/8/24,9:45,Taconic,CDD01,30,T,F,25.5,24.6,-3.529411765,89.3,,,,,,,,,
CDD01.CR.Chow.1.30,stool,,Male,Chow,2/8/24,9:45,CharlesRiver,CDD01,30,T,F,23.6,27.1,14.83050847,87.4,,,,,,,,,
CDD01.CR.Chow.2.30,stool,,Male,Chow,2/8/24,9:45,CharlesRiver,CDD01,30,T,F,21.8,22,0.917431193,87.7,,,,,,,,,
CDD02.Tc.Chow.1.00,stool,,Female,Chow,3/5/24,11:00,Taconic,CDD02,0,T,F,,,,,,,,,,,,,
CDD02.Tc.Chow.2.00,stool,,Female,Chow,3/5/24,11:00,Taconic,CDD02,0,T,F,,,,,,,,,,,,,
CDD02.Tc.Chow.3.00,stool,,Female,Chow,3/5/24,11:00,Taconic,CDD02,0,T,F,,,,,,,,,,,,,
CDD02.Tc.Chow.4.00,stool,,Female,Chow,3/5/24,11:00,Taconic,CDD02,0,T,F,,,,,,,,,,,,,
CDD02.Tc.Chow.5.00,stool,,Female,Chow,3/5/24,11:00,Taconic,CDD02,0,T,F,,,,,,,,,,,,,
CDD02.Tc.LFLF.1.00,stool,,Female,LFLF,3/5/24,11:00,Taconic,CDD02,0,T,F,,,,,,,,,,,,,
CDD02.Tc.LFLF.2.00,stool,,Female,LFLF,3/5/24,11:00,Taconic,CDD02,0,T,F,,,,,,,,,,,,,
