diet	sampleid	day_post_inf	sample_type	mouse_id	high_fat	high_fiber	purified_diet	seq_depth	facility	study
HF/HF	74.102.0816	0	colon	102	1	1	1	42977	barrier_1	7
HF/HF	71.103.0801	-15	colon	103	0	0	0	45540	barrier_1	7
HF/HF	72.103.0808	-8	colon	103	1	1	1	32474	barrier_1	7
HF/HF	74.103.0816	0	colon	103	1	1	1	35530	barrier_1	7
HF/HF	71.104.0801	-15	colon	104	0	0	0	22024	barrier_1	7
HF/HF	73.104.0813	-3	colon	104	1	1	1	44352	barrier_1	7
HF/HF	71.105.0801	-15	colon	105	0	0	0	31391	barrier_1	7
HF/HF	72.105.0808	-8	colon	105	1	1	1	27445	barrier_1	7
HF/HF	73.105.0813	-3	colon	105	1	1	1	45653	barrier_1	7
HF/HF	74.105.0816	0	colon	105	1	1	1	12363	barrier_1	7
LF/LF	71.106.0801	-15	colon	106	0	0	0	29259	barrier_1	7
LF/LF	73.106.0813	-3	colon	106	0	0	1	16741	barrier_1	7
LF/LF	74.106.0816	0	colon	106	0	0	1	36165	barrier_1	7
LF/LF	71.107.0801	-15	colon	107	0	0	0	32465	barrier_1	7
LF/LF	73.107.0813	-3	colon	107	0	0	1	39613	barrier_1	7
LF/LF	74.107.0816	0	colon	107	0	0	1	31367	barrier_1	7
LF/LF	71.108.0801	-15	colon	108	0	0	0	30241	barrier_1	7
LF/LF	72.108.0808	-8	colon	108	0	0	1	28758	barrier_1	7
LF/LF	74.108.0816	0	colon	108	0	0	1	37072	barrier_1	7
LF/LF	71.109.0801	-15	colon	109	0	0	0	28931	barrier_1	7
LF/LF	74.109.0816	0	colon	109	0	0	1	36806	barrier_1	7
HF/LF	71.110.0801	-15	colon	110	0	0	0	28581	barrier_1	7
HF/LF	74.110.0816	0	colon	110	1	0	1	4954	barrier_1	7
HF/LF	71.111.0801	-15	colon	111	0	0	0	27952	barrier_1	7
HF/LF	72.111.0808	-8	colon	111	1	0	1	43626	barrier_1	7
HF/LF	73.111.0813	-3	colon	111	1	0	1	2039	barrier_1	7
HF/LF	74.111.0816	0	colon	111	1	0	1	14458	barrier_1	7
HF/LF	71.112.0801	-15	colon	112	0	0	0	26701	barrier_1	7
HF/LF	72.112.0808	-8	colon	112	1	0	1	36552	barrier_1	7
HF/LF	73.112.0813	-3	colon	112	1	0	1	5608	barrier_1	7
HF/LF	71.113.0801	-15	colon	113	0	0	0	4	barrier_1	7
HF/LF	72.113.0808	-8	colon	113	1	0	1	39612	barrier_1	7
HF/LF	73.113.0813	-3	colon	113	1	0	1	11695	barrier_1	7
HF/LF	74.113.0816	0	colon	113	1	0	1	32629	barrier_1	7
Chow	71.114.0801	-15	colon	114	0	0	0	27826	barrier_1	7
Chow	72.114.0808	-8	colon	114	0	0	0	33658	barrier_1	7
Chow	73.114.0813	-3	colon	114	0	0	0	28624	barrier_1	7
Chow	74.114.0816	0	colon	114	0	0	0	29237	barrier_1	7
Chow	71.115.0801	-15	colon	115	0	0	0	27182	barrier_1	7
Chow	72.115.0808	-8	colon	115	0	0	0	39710	barrier_1	7
Chow	73.115.0813	-3	colon	115	0	0	0	16968	barrier_1	7
Chow	74.115.0816	0	colon	115	0	0	0	30190	barrier_1	7
Chow	71.116.0801	-15	colon	116	0	0	0	28354	barrier_1	7
Chow	72.116.0808	-8	colon	116	0	0	0	31089	barrier_1	7
Chow	74.116.0816	0	colon	116	0	0	0	45218	barrier_1	7
Chow	71.117.0801	-15	colon	117	0	0	0	23118	barrier_1	7
Chow	73.117.0813	-3	colon	117	0	0	0	32144	barrier_1	7
Chow	74.117.0816	0	colon	117	0	0	0	39855	barrier_1	7
Chow	71.118.0801	-15	colon	118	0	0	0	27701	barrier_1	7
Chow	61.9961.0627	-15	colon	9961	0	0	0	18700	barrier_2	6
Chow	62.9961.0704	-8	colon	9961	0	0	0	24794	barrier_2	6
Chow	63.9961.0709	-3	colon	9961	0	0	0	40637	barrier_2	6
Chow	64.9961.0712	0	colon	9961	0	0	0	30186	barrier_2	6
Chow	61.9962.0627	-15	colon	9962	0	0	0	35472	barrier_2	6
Chow	62.9962.0704	-8	colon	9962	0	0	0	32763	barrier_2	6
Chow	63.9962.0709	-3	colon	9962	0	0	0	48936	barrier_2	6
Chow	64.9962.0712	0	colon	9962	0	0	0	40444	barrier_2	6
Chow	61.9963.0627	-15	colon	9963	0	0	0	30837	barrier_2	6
