sample_type,mouse_id,high_fat,high_fiber,purified_diet,facility,study,diet,histopathology,bile_acid,metabolomics,toxin,hypoxia,sequencing
colon,9962,0,0,0,2,6,Chow,0,0,0,0,0,1
colon,9962,0,0,0,2,6,Chow,0,0,0,0,0,1
colon,9962,0,0,0,2,6,Chow,0,0,0,0,0,1
colon,9963,0,0,0,2,6,Chow,0,0,0,0,0,1
colon,9963,0,0,0,2,6,Chow,0,0,0,0,0,1
colon,9963,0,0,0,2,6,Chow,0,0,0,0,0,1
colon,9963,0,0,0,2,6,Chow,0,0,0,0,0,1
colon,9964,0,0,0,2,6,Chow,0,0,0,0,0,1
colon,9964,0,0,0,2,6,Chow,0,0,0,0,0,1
colon,9964,0,0,0,2,6,Chow,0,0,0,0,0,1
colon,9964,0,0,0,2,6,Chow,0,0,0,0,0,1
colon,9965,0,0,0,2,6,Chow,0,0,0,0,0,1
colon,9965,0,0,0,2,6,Chow,0,0,0,0,0,1
colon,9965,0,0,0,2,6,Chow,0,0,0,0,0,1
colon,9965,0,0,0,2,6,Chow,0,0,0,0,0,1
colon,9966,0,0,0,2,6,LF/LF,0,0,0,0,0,1
colon,9966,0,0,1,2,6,LF/LF,0,0,0,0,0,1
colon,9966,0,0,1,2,6,LF/LF,0,0,0,0,0,1
colon,9966,0,0,1,2,6,LF/LF,0,0,0,0,0,1
colon,9967,0,0,0,2,6,LF/LF,0,0,0,0,0,1
colon,9967,0,0,1,2,6,LF/LF,0,0,0,0,0,1
colon,9967,0,0,1,2,6,LF/LF,0,0,0,0,0,1
colon,9967,0,0,1,2,6,LF/LF,0,0,0,0,0,1
colon,9968,0,0,0,2,6,LF/LF,0,0,0,0,0,1
colon,9968,0,0,1,2,6,LF/LF,0,0,0,0,0,1
colon,9968,0,0,1,2,6,LF/LF,0,0,0,0,0,1
colon,9968,0,0,1,2,6,LF/LF,0,0,0,0,0,1
colon,9969,0,0,0,2,6,LF/LF,0,0,0,0,0,1
colon,9969,0,0,1,2,6,LF/LF,0,0,0,0,0,1
colon,9969,0,0,1,2,6,LF/LF,0,0,0,0,0,1
colon,9969,0,0,1,2,6,LF/LF,0,0,0,0,0,1
colon,9970,0,0,0,2,6,LF/LF,0,0,0,0,0,1
colon,9970,0,0,1,2,6,LF/LF,0,0,0,0,0,1
colon,9970,0,0,1,2,6,LF/LF,0,0,0,0,0,1
colon,9970,0,0,1,2,6,LF/LF,0,0,0,0,0,1
colon,9971,0,0,0,2,6,HF/LF,0,0,0,0,0,1
colon,9971,1,0,1,2,6,HF/LF,0,0,0,0,0,1
colon,9971,1,0,1,2,6,HF/LF,0,0,0,0,0,1
colon,9972,0,0,0,2,6,HF/LF,0,0,0,0,0,1
colon,9972,1,0,1,2,6,HF/LF,0,0,0,0,0,1
colon,9972,1,0,1,2,6,HF/LF,0,0,0,0,0,1
colon,9972,1,0,1,2,6,HF/LF,0,0,0,0,0,1
colon,9973,0,0,0,2,6,HF/LF,0,0,0,0,0,1
colon,9973,1,0,1,2,6,HF/LF,0,0,0,0,0,1
colon,9973,1,0,1,2,6,HF/LF,0,0,0,0,0,1
colon,9973,1,0,1,2,6,HF/LF,0,0,0,0,0,1
colon,9974,0,0,0,2,6,HF/LF,0,0,0,0,0,1
colon,9974,1,0,1,2,6,HF/LF,0,0,0,0,0,1
colon,9974,1,0,1,2,6,HF/LF,0,0,0,0,0,1
colon,9974,1,0,1,2,6,HF/LF,0,0,0,0,0,1
colon,9975,0,0,0,2,6,HF/LF,0,0,0,0,0,1
colon,9975,1,0,1,2,6,HF/LF,0,0,0,0,0,1
colon,9975,1,0,1,2,6,HF/LF,0,0,0,0,0,1
colon,9975,1,0,1,2,6,HF/LF,0,0,0,0,0,1
colon,98,0,1,1,1,7,LF/HF,0,0,0,0,0,1
colon,100,0,1,1,1,7,LF/HF,0,0,0,0,0,1
colon,103,1,1,1,1,7,HF/HF,0,0,0,0,0,1
colon,9831,0,1,1,1,3,LF/HF,0,0,0,0,0,1
colon,9831,0,1,1,1,3,LF/HF,0,0,0,0,0,1
colon,9832,0,1,1,1,3,LF/HF,0,0,0,0,0,1
colon,9832,0,1,1,1,3,LF/HF,0,0,0,0,0,1
colon,9833,0,1,1,1,3,LF/HF,0,0,0,0,0,1
colon,9834,0,1,1,1,3,LF/HF,0,0,0,0,0,1
colon,9834,0,1,1,1,3,LF/HF,0,0,0,0,0,1
colon,9835,0,1,1,1,3,LF/HF,0,0,0,0,0,1
colon,9835,0,1,1,1,3,LF/HF,0,0,0,0,0,1
colon,9836,1,1,1,1,3,HF/HF,0,0,0,0,0,1
colon,9836,1,1,1,1,3,HF/HF,0,0,0,0,0,1
colon,9837,1,1,1,1,3,HF/HF,0,0,0,0,0,1
colon,9837,1,1,1,1,3,HF/HF,0,0,0,0,0,1
colon,9838,1,1,1,1,3,HF/HF,0,0,0,0,0,1
colon,9838,1,1,1,1,3,HF/HF,0,0,0,0,0,1
colon,9839,1,1,1,1,3,HF/HF,0,0,0,0,0,1
colon,9839,1,1,1,1,3,HF/HF,0,0,0,0,0,1
colon,9840,1,1,1,1,3,HF/HF,0,0,0,0,0,1
colon,9840,1,1,1,1,3,HF/HF,0,0,0,0,0,1
colon,9841,0,0,1,1,3,LF/LF,0,0,0,0,0,1
colon,9841,0,0,1,1,3,LF/LF,0,0,0,0,0,1
colon,9842,0,0,1,1,3,LF/LF,0,0,0,0,0,1
colon,9843,0,0,1,1,3,LF/LF,0,0,0,0,0,1
colon,9843,0,0,1,1,3,LF/LF,0,0,0,0,0,1
colon,9844,0,0,1,1,3,LF/LF,0,0,0,0,0,1
colon,9844,0,0,1,1,3,LF/LF,0,0,0,0,0,1
colon,9845,0,0,1,1,3,LF/LF,0,0,0,0,0,1
colon,9845,0,0,1,1,3,LF/LF,0,0,0,0,0,1
colon,9846,1,0,1,1,3,HF/LF,0,0,0,0,0,1
colon,9846,1,0,1,1,3,HF/LF,0,0,0,0,0,1
colon,9847,1,0,1,1,3,HF/LF,0,0,0,0,0,1
colon,9847,1,0,1,1,3,HF/LF,0,0,0,0,0,1
colon,9848,1,0,1,1,3,HF/LF,0,0,0,0,0,1
colon,9848,1,0,1,1,3,HF/LF,0,0,0,0,0,1
colon,9849,1,0,1,1,3,HF/LF,0,0,0,0,0,1
colon,9849,1,0,1,1,3,HF/LF,0,0,0,0,0,1
colon,9851,1,0,1,1,3,HF/LF,0,0,0,0,0,1
colon,9851,1,0,1,1,3,HF/LF,0,0,0,0,0,1
colon,9871,0,0,0,2,4,LF/HF,0,0,0,0,0,1
colon,9871,0,1,1,2,4,LF/HF,0,0,0,0,0,1
colon,9871,0,1,1,2,4,LF/HF,0,0,0,0,0,1
colon,9871,0,1,1,2,4,LF/HF,0,0,0,0,0,1
colon,9872,0,0,0,2,4,LF/HF,0,0,0,0,0,1
colon,9872,0,1,1,2,4,LF/HF,0,0,0,0,0,1
colon,9872,0,1,1,2,4,LF/HF,0,0,0,0,0,1
colon,9872,0,1,1,2,4,LF/HF,0,0,0,0,0,1
colon,9873,0,0,0,2,4,LF/HF,0,0,0,0,0,1
colon,9873,0,1,1,2,4,LF/HF,0,0,0,0,0,1
