sample	ko	taxon	taxon_abun	taxon_rel_abun	genome_function_count	taxon_function_abun	taxon_rel_function_abun	norm_taxon_function_contrib
1_0403_9687	K00929	747f2349a5e05816a56c75007ae79e3e	157	0.19720882932819364	1	157	0.19720882932819364	0.00964432704711591
1_0403_9687	K00929	7a61da82e043fc2e0252934cfc718753	98	0.12309850493097438	1	98	0.12309850493097438	0.00602002580011057
1_0403_9687	K00929	837db9efa7c388ac65d7c49853d8335d	227	0.2851363328503182	1	227	0.2851363328503182	0.01394434547576632
1_0403_9687	K00929	8659f12bab87bc12c0b096be47238c98	42	0.05275650211327474	1	42	0.05275650211327474	0.00258001105719024
1_0403_9687	K00929	86e2c0621f63f15e551833709c6f3238	1425	1.789952750271821	1	1425	1.789952750271821	0.08753608944038331
1_0403_9687	K00929	87c73190cb6713a91b5de17d3ff4c3d4	136	0.1708305782715563	1	136	0.1708305782715563	0.00835432151852079
1_0403_9687	K00929	88ab9af7bd6d8a09c14a812cb2082a79	447	0.5614799153484239	1	447	0.5614799153484239	0.0274586891086676
1_0403_9687	K00929	8ba742f68eac37fe13c4b1904dbecfc1	36	0.04521985895423549	1	36	0.04521985895423549	0.00221143804902021
1_0403_9687	K00929	92c099f3482d20fcdf569983eed63e62	202	0.253733653020988	1	202	0.253733653020988	0.01240862460839118
1_0403_9687	K00929	98b130d293e8f892f43eb8cd1cab1e71	79	0.09923246826068342	1	79	0.09923246826068342	0.00485287794090546
1_0403_9687	K00929	99d2a87b605975cc09a3a76246060920	228	0.2863924400434914	1	228	0.2863924400434914	0.01400577431046133
1_0403_9687	K00929	a50a6987b39bf6ebc2b83c55800a37b6	55	0.06908589562452644	1	55	0.06908589562452644	0.00337858590822532
1_0403_9687	K00929	b2a61052fb2c0aa8e165a0e890d8d0eb	9	0.01130496473855887	1	9	0.01130496473855887	5.5285951225505e-4
1_0403_9687	K00929	bcaa663b6ba40455634757464f104af0	574	0.7210055288814213	1	574	0.7210055288814213	0.03526015111493335
1_0403_9687	K00929	bf141ce59fb1d98ba2e9f51a97c603e8	83	0.10425689703337626	1	83	0.10425689703337626	0.00509859327968548
1_0403_9687	K00929	c1b8287c24e782535ad8af8c18fa69a1	125	0.157013399146651	1	125	0.157013399146651	0.00767860433687573
1_0403_9687	K00929	c544ed46d118037e56fb14b964ddb15b	427	0.5363577714849599	1	427	0.5363577714849599	0.02623011241476749
1_0403_9687	K00929	cab1f3ff63df5a854dcf58cf595623cc	53	0.06657368123818003	1	53	0.06657368123818003	0.0032557282388353
1_0403_9687	K00929	cae2da4e292bc63db3f85b6febdab924	140	0.1758550070442491	1	140	0.1758550070442491	0.00860003685730081
