mouse_id	tissue	score	diet	sampleid	microbe_product	concentration	conc_normalized
9832	colon	9.9	LF/HF	CtrlF3.060322	Acetic Acid (ug/g)	195.5	197.5
9832	colon	9.9	LF/HF	CtrlF3.060322	Propanoic Acid (ug/g)	59.3	61.3
9832	colon	9.9	LF/HF	CtrlF3.060322	n-Butanoic Acid (ug/g)	4.5	6.5
9833	colon	7	LF/HF	CtrlF1.060322	Acetic Acid (ug/g)	609.7	611.7
9833	colon	7	LF/HF	CtrlF1.060322	Propanoic Acid (ug/g)	111.2	113.2
9833	colon	7	LF/HF	CtrlF1.060322	n-Butanoic Acid (ug/g)	50.8	52.8
9834	colon	3.6	LF/HF	CtrlF2.060322	Acetic Acid (ug/g)	402	404
9834	colon	3.6	LF/HF	CtrlF2.060322	Propanoic Acid (ug/g)	58.6	60.6
9834	colon	3.6	LF/HF	CtrlF2.060322	n-Butanoic Acid (ug/g)	0	2
9836	colon	4.8	HF/HF	W+F4.060322	Acetic Acid (ug/g)	750.5	752.5
9836	colon	4.8	HF/HF	W+F4.060322	Propanoic Acid (ug/g)	295.4	297.4
9836	colon	4.8	HF/HF	W+F4.060322	n-Butanoic Acid (ug/g)	40.6	42.6
9837	colon	7.8	HF/HF	W+F2.060322	Acetic Acid (ug/g)	378.9	380.9
9837	colon	7.8	HF/HF	W+F2.060322	Propanoic Acid (ug/g)	187.9	189.9
9837	colon	7.8	HF/HF	W+F2.060322	n-Butanoic Acid (ug/g)	35.5	37.5
9842	colon	10.7	LF/LF	Ctrl2.060322	Acetic Acid (ug/g)	235.3	237.3
9842	colon	10.7	LF/LF	Ctrl2.060322	Propanoic Acid (ug/g)	26.1	28.1
9842	colon	10.7	LF/LF	Ctrl2.060322	n-Butanoic Acid (ug/g)	1.2	3.2
9846	colon	0	HF/LF	WD3.060322	Acetic Acid (ug/g)	99	101
9846	colon	0	HF/LF	WD3.060322	Propanoic Acid (ug/g)	3.8	5.8
9846	colon	0	HF/LF	WD3.060322	n-Butanoic Acid (ug/g)	1.2	3.2
9847	colon	7.9	HF/LF	WD1.060322	Acetic Acid (ug/g)	167.8	169.8
9847	colon	7.9	HF/LF	WD1.060322	Propanoic Acid (ug/g)	21.2	23.2
9847	colon	7.9	HF/LF	WD1.060322	n-Butanoic Acid (ug/g)	11.2	13.2
9848	colon	6.7	HF/LF	WD4.060322	Acetic Acid (ug/g)	85.5	87.5
9848	colon	6.7	HF/LF	WD4.060322	Propanoic Acid (ug/g)	7.9	9.9
9848	colon	6.7	HF/LF	WD4.060322	n-Butanoic Acid (ug/g)	2.9	4.9
9849	colon	0	HF/LF	WD2.060322	Acetic Acid (ug/g)	56.8	58.8
9849	colon	0	HF/LF	WD2.060322	Propanoic Acid (ug/g)	3.5	5.5
9849	colon	0	HF/LF	WD2.060322	n-Butanoic Acid (ug/g)	1.1	3.1
9851	colon	0	HF/LF	WD5.060322	Acetic Acid (ug/g)	43.6	45.6
9851	colon	0	HF/LF	WD5.060322	Propanoic Acid (ug/g)	3	5
9851	colon	0	HF/LF	WD5.060322	n-Butanoic Acid (ug/g)	1.1	3.1
9941	colon	0	Chow	Chow3.070122	Acetic Acid (ug/g)	769.7	771.7
9941	colon	0	Chow	Chow3.070122	Propanoic Acid (ug/g)	115.3	117.3
9941	colon	0	Chow	Chow3.070122	n-Butanoic Acid (ug/g)	27	29
9943	colon	4.1	Chow	Chow2.070122	Acetic Acid (ug/g)	590.9	592.9
9943	colon	4.1	Chow	Chow2.070122	Propanoic Acid (ug/g)	77.6	79.6
9943	colon	4.1	Chow	Chow2.070122	n-Butanoic Acid (ug/g)	23.2	25.2
9945	colon	4.2	LF/LF	Ctrl4.070122	Acetic Acid (ug/g)	469.7	471.7
9945	colon	4.2	LF/LF	Ctrl4.070122	Propanoic Acid (ug/g)	122.6	124.6
9945	colon	4.2	LF/LF	Ctrl4.070122	n-Butanoic Acid (ug/g)	17.1	19.1
9946	colon	9.2	LF/LF	Ctrl1.070122	Acetic Acid (ug/g)	242.3	244.3
9946	colon	9.2	LF/LF	Ctrl1.070122	Propanoic Acid (ug/g)	55.7	57.7
9946	colon	9.2	LF/LF	Ctrl1.070122	n-Butanoic Acid (ug/g)	4.1	6.1
9947	colon	3.8	LF/LF	Ctrl3.070122	Acetic Acid (ug/g)	363	365
9947	colon	3.8	LF/LF	Ctrl3.070122	Propanoic Acid (ug/g)	105.7	107.7
9947	colon	3.8	LF/LF	Ctrl3.070122	n-Butanoic Acid (ug/g)	13.9	15.9
9948	colon	2.8	LF/LF	Ctrl2.070122	Acetic Acid (ug/g)	383.7	385.7
9948	colon	2.8	LF/LF	Ctrl2.070122	Propanoic Acid (ug/g)	139.5	141.5
9948	colon	2.8	LF/LF	Ctrl2.070122	n-Butanoic Acid (ug/g)	74.5	76.5
9949	colon	1	HF/LF	WD2.070122	Acetic Acid (ug/g)	163.2	165.2
9949	colon	1	HF/LF	WD2.070122	Propanoic Acid (ug/g)	71.4	73.4
9949	colon	1	HF/LF	WD2.070122	n-Butanoic Acid (ug/g)	3.5	5.5
9950	colon	1.8	HF/LF	WD3.070122	Acetic Acid (ug/g)	202.8	204.8
9950	colon	1.8	HF/LF	WD3.070122	Propanoic Acid (ug/g)	64.6	66.6
9950	colon	1.8	HF/LF	WD3.070122	n-Butanoic Acid (ug/g)	4.3	6.3
9952	colon	1.3	HF/LF	WD4.070122	Acetic Acid (ug/g)	135.3	137.3
9952	colon	1.3	HF/LF	WD4.070122	Propanoic Acid (ug/g)	42.8	44.8
9952	colon	1.3	HF/LF	WD4.070122	n-Butanoic Acid (ug/g)	2.5	4.5
9953	colon	0.4	HF/LF	WD1.070122	Acetic Acid (ug/g)	142.3	144.3
9953	colon	0.4	HF/LF	WD1.070122	Propanoic Acid (ug/g)	66.4	68.4
9953	colon	0.4	HF/LF	WD1.070122	n-Butanoic Acid (ug/g)	2.2	4.2
9962	colon	2.3	Chow	Chow3.071522	Acetic Acid (ug/g)	1767.3	1769.3
9962	colon	2.3	Chow	Chow3.071522	Propanoic Acid (ug/g)	303.3	305.3
9962	colon	2.3	Chow	Chow3.071522	n-Butanoic Acid (ug/g)	412.3	414.3
9965	colon	0	Chow	Chow2.071522	Acetic Acid (ug/g)	482.1	484.1
9965	colon	0	Chow	Chow2.071522	Propanoic Acid (ug/g)	249.9	251.9
9965	colon	0	Chow	Chow2.071522	n-Butanoic Acid (ug/g)	115	117
9966	colon	0.8	LF/LF	Ctrl1.071522	Acetic Acid (ug/g)	89.9	91.9
9966	colon	0.8	LF/LF	Ctrl1.071522	Propanoic Acid (ug/g)	10.6	12.6
9966	colon	0.8	LF/LF	Ctrl1.071522	n-Butanoic Acid (ug/g)	3.6	5.6
9968	colon	5.4	LF/LF	Ctrl3.071522	Acetic Acid (ug/g)	411	413
9968	colon	5.4	LF/LF	Ctrl3.071522	Propanoic Acid (ug/g)	41.3	43.3
9968	colon	5.4	LF/LF	Ctrl3.071522	n-Butanoic Acid (ug/g)	7.3	9.3
9969	colon	2.8	LF/LF	Ctrl2.071522	Acetic Acid (ug/g)	1414.8	1416.8
9969	colon	2.8	LF/LF	Ctrl2.071522	Propanoic Acid (ug/g)	263.5	265.5
9969	colon	2.8	LF/LF	Ctrl2.071522	n-Butanoic Acid (ug/g)	135.8	137.8
9970	colon	1.7	LF/LF	Ctrl4.071522	Acetic Acid (ug/g)	1409.4	1411.4
9970	colon	1.7	LF/LF	Ctrl4.071522	Propanoic Acid (ug/g)	718.2	720.2
9970	colon	1.7	LF/LF	Ctrl4.071522	n-Butanoic Acid (ug/g)	80.3	82.3
9971	colon	0	HF/LF	WD3.071522	Acetic Acid (ug/g)	236.6	238.6
9971	colon	0	HF/LF	WD3.071522	Propanoic Acid (ug/g)	172.6	174.6
9971	colon	0	HF/LF	WD3.071522	n-Butanoic Acid (ug/g)	10.6	12.6
9972	colon	0	HF/LF	WD2.071522	Acetic Acid (ug/g)	24.8	26.8
9972	colon	0	HF/LF	WD2.071522	Propanoic Acid (ug/g)	0	2
9972	colon	0	HF/LF	WD2.071522	n-Butanoic Acid (ug/g)	0	2
9973	colon	0	HF/LF	WD5.071522	Acetic Acid (ug/g)	19	21
9973	colon	0	HF/LF	WD5.071522	Propanoic Acid (ug/g)	0	2
9973	colon	0	HF/LF	WD5.071522	n-Butanoic Acid (ug/g)	0	2
9974	colon	0	HF/LF	WD1.071522	Acetic Acid (ug/g)	39.1	41.1
9974	colon	0	HF/LF	WD1.071522	Propanoic Acid (ug/g)	0	2
9974	colon	0	HF/LF	WD1.071522	n-Butanoic Acid (ug/g)	0	2
9975	colon	0	HF/LF	WD4.071522	Acetic Acid (ug/g)	29.8	31.8
9975	colon	0	HF/LF	WD4.071522	Propanoic Acid (ug/g)	0	2
9975	colon	0	HF/LF	WD4.071522	n-Butanoic Acid (ug/g)	0	2
103	cecum	4.7	HF/HF	WD+F.081222	Total TcA Neat	242.37	244.37
103	cecum	4.7	HF/HF	WD+F.081222	Total TcB Neat	226.64	228.64
106	cecum	0.7	LF/LF	Ctrl2.081222	Total TcA Neat	114.86	116.86
106	cecum	0.7	LF/LF	Ctrl2.081222	Total TcB Neat	103.25	105.25
108	cecum	1.8	LF/LF	Ctrl3.081222	Total TcA Neat	73.35	75.35
108	cecum	1.8	LF/LF	Ctrl3.081222	Total TcB Neat	103.25	105.25
109	cecum	1.4	LF/LF	Ctrl1.081222	Total TcA Neat	111.86	113.86
109	cecum	1.4	LF/LF	Ctrl1.081222	Total TcB Neat	83.45	85.45
113	cecum	0.8	HF/LF	WD+1.081222	Total TcA Neat	71.99	73.99
113	cecum	0.8	HF/LF	WD+1.081222	Total TcB Neat	92.81	94.81
114	cecum	0.2	Chow	Chow4.081222	Total TcA Neat	45.16	47.16
114	cecum	0.2	Chow	Chow4.081222	Total TcB Neat	4.35	6.35
115	cecum	1.6	Chow	Chow3.081222	Total TcA Neat	314.02	316.02
115	cecum	1.6	Chow	Chow3.081222	Total TcB Neat	169.47	171.47
116	cecum	0.2	Chow	Chow2.081222	Total TcA Neat	25.87	27.87
116	cecum	0.2	Chow	Chow2.081222	Total TcB Neat	3.57	5.57
117	cecum	0.3	Chow	Chow1.081222	Total TcA Neat	0	2
117	cecum	0.3	Chow	Chow1.081222	Total TcB Neat	0	2
9740	cecum	2.5	Chow	Chow1.050622	Total TcA Neat	378.76	380.76
9740	cecum	2.5	Chow	Chow1.050622	Total TcB Neat	436.61	438.61
9741	cecum	0.2	Chow	Chow2.050622	Total TcA Neat	1.36	3.3600000000000003
9741	cecum	0.2	Chow	Chow2.050622	Total TcB Neat	3.89	5.890000000000001
9742	cecum	4.5	Chow	Chow4.050622	Total TcA Neat	55.82	57.82
