sampleid	diet	day_post_inf	mouse_id	study	diet_true	high_fat	high_fiber	purified_diet	seq_depth
34.9836.0531	HF/HF	0	9836	3	HF/HF	1	1	1	36553
33.9837.0528	HF/HF	-3	9837	3	HF/HF	1	1	1	23405
34.9837.0531	HF/HF	0	9837	3	HF/HF	1	1	1	66805
33.9838.0528	HF/HF	-3	9838	3	HF/HF	1	1	1	18062
34.9838.0531	HF/HF	0	9838	3	HF/HF	1	1	1	24549
33.9839.0528	HF/HF	-3	9839	3	HF/HF	1	1	1	29078
34.9839.0531	HF/HF	0	9839	3	HF/HF	1	1	1	44390
33.9840.0528	HF/HF	-3	9840	3	HF/HF	1	1	1	63482
34.9840.0531	HF/HF	0	9840	3	HF/HF	1	1	1	24066
33.9841.0528	LF/LF	-3	9841	3	LF/LF	0	0	1	1227
34.9841.0531	LF/LF	0	9841	3	LF/LF	0	0	1	18535
33.9842.0528	LF/LF	-3	9842	3	LF/LF	0	0	1	1812
33.9843.0528	LF/LF	-3	9843	3	LF/LF	0	0	1	858
34.9843.0531	LF/LF	0	9843	3	LF/LF	0	0	1	22373
33.9844.0528	LF/LF	-3	9844	3	LF/LF	0	0	1	518
34.9844.0531	LF/LF	0	9844	3	LF/LF	0	0	1	21276
33.9845.0528	LF/LF	-3	9845	3	LF/LF	0	0	1	265
34.9845.0531	LF/LF	0	9845	3	LF/LF	0	0	1	28397
33.9846.0528	HF/LF	-3	9846	3	HF/LF	1	0	1	6470
34.9846.0531	HF/LF	0	9846	3	HF/LF	1	0	1	3088
33.9847.0528	HF/LF	-3	9847	3	HF/LF	1	0	1	1346
34.9847.0531	HF/LF	0	9847	3	HF/LF	1	0	1	8920
33.9848.0528	HF/LF	-3	9848	3	HF/LF	1	0	1	6428
34.9848.0531	HF/LF	0	9848	3	HF/LF	1	0	1	694
33.9849.0528	HF/LF	-3	9849	3	HF/LF	1	0	1	878
34.9849.0531	HF/LF	0	9849	3	HF/LF	1	0	1	190
34.9851.0531	HF/LF	0	9851	3	HF/LF	1	0	1	640
33.9857.0528	HF/LF	-3	9851	3	HF/LF	1	0	1	2599
41.9871.0530	LF/HF	-15	9871	4	Chow	0	1	0	33408
42.9871.0606	LF/HF	-8	9871	4	LF/HF	0	1	1	32610
43.9871.0611	LF/HF	-3	9871	4	LF/HF	0	1	1	26939
44.9871.0614	LF/HF	0	9871	4	LF/HF	0	1	1	52938
41.9872.0530	LF/HF	-15	9872	4	Chow	0	1	0	31166
42.9872.0606	LF/HF	-8	9872	4	LF/HF	0	1	1	38613
43.9872.0611	LF/HF	-3	9872	4	LF/HF	0	1	1	38159
44.9872.0614	LF/HF	0	9872	4	LF/HF	0	1	1	59714
41.9873.0530	LF/HF	-15	9873	4	Chow	0	1	0	47626
42.9873.0606	LF/HF	-8	9873	4	LF/HF	0	1	1	40556
43.9873.0611	LF/HF	-3	9873	4	LF/HF	0	1	1	26894
44.9873.0614	LF/HF	0	9873	4	LF/HF	0	1	1	39584
41.9874.0530	LF/HF	-15	9874	4	Chow	0	1	0	36647
42.9874.0606	LF/HF	-8	9874	4	LF/HF	0	1	1	45601
43.9874.0611	LF/HF	-3	9874	4	LF/HF	0	1	1	117569
44.9874.0614	LF/HF	0	9874	4	LF/HF	0	1	1	29261
41.9875.0530	LF/HF	-15	9875	4	Chow	0	1	0	29424
42.9875.0606	LF/HF	-8	9875	4	LF/HF	0	1	1	23964
43.9875.0611	LF/HF	-3	9875	4	LF/HF	0	1	1	42024
44.9875.0614	LF/HF	0	9875	4	LF/HF	0	1	1	42766
41.9876.0530	HF/HF	-15	9876	4	Chow	0	1	0	81632
42.9876.0606	HF/HF	-8	9876	4	HF/HF	1	1	1	39243
43.9876.0611	HF/HF	-3	9876	4	HF/HF	1	1	1	44144
44.9876.0614	HF/HF	0	9876	4	HF/HF	1	1	1	42062
41.9877.0530	HF/HF	-15	9877	4	Chow	0	1	0	35808
42.9877.0606	HF/HF	-8	9877	4	HF/HF	1	1	1	39222
43.9877.0611	HF/HF	-3	9877	4	HF/HF	1	1	1	36225
44.9877.0614	HF/HF	0	9877	4	HF/HF	1	1	1	45185
41.9878.0530	HF/HF	-15	9878	4	Chow	0	1	0	44003
42.9878.0606	HF/HF	-8	9878	4	HF/HF	1	1	1	49237
43.9878.0611	HF/HF	-3	9878	4	HF/HF	1	1	1	27408
44.9878.0614	HF/HF	0	9878	4	HF/HF	1	1	1	7565
41.9879.0530	HF/HF	-15	9879	4	Chow	0	1	0	30920
42.9879.0606	HF/HF	-8	9879	4	HF/HF	1	1	1	42795
43.9879.0611	HF/HF	-3	9879	4	HF/HF	1	1	1	48925
44.9879.0614	HF/HF	0	9879	4	HF/HF	1	1	1	52756
41.9880.0530	HF/HF	-15	9880	4	Chow	0	1	0	38429
42.9880.0606	HF/HF	-8	9880	4	HF/HF	1	1	1	36877
43.9880.0611	HF/HF	-3	9880	4	HF/HF	1	1	1	45460
44.9880.0614	HF/HF	0	9880	4	HF/HF	1	1	1	39816
41.9881.0530	LF/LF	-15	9881	4	Chow	0	1	0	41749
