"mouse_id","day","weight","study","diet"
354,22,NA,"Study 16","chow"
354,23,NA,"Study 16","chow"
354,24,NA,"Study 16","chow"
354,25,NA,"Study 16","chow"
354,26,NA,"Study 16","chow"
354,27,NA,"Study 16","chow"
354,28,NA,"Study 16","chow"
354,29,NA,"Study 16","chow"
355,0,17.9,"Study 16","chow"
355,8,19.1,"Study 16","chow"
355,13,19.7,"Study 16","chow"
355,14,20.1,"Study 16","chow"
355,15,20.3,"Study 16","chow"
355,16,18.3,"Study 16","chow"
355,17,16.3,"Study 16","chow"
355,18,15.2,"Study 16","chow"
355,19,14.5,"Study 16","chow"
355,20,15.1,"Study 16","chow"
355,21,17.2,"Study 16","chow"
355,22,18.5,"Study 16","chow"
355,23,19.1,"Study 16","chow"
355,24,18.6,"Study 16","chow"
355,25,19.5,"Study 16","chow"
355,26,19.3,"Study 16","chow"
355,27,19.9,"Study 16","chow"
355,28,19.9,"Study 16","chow"
355,29,20,"Study 16","chow"
356,0,16.9,"Study 16","chow"
356,8,17.7,"Study 16","chow"
356,13,17.5,"Study 16","chow"
356,14,18.8,"Study 16","chow"
356,15,18.4,"Study 16","chow"
356,16,17.9,"Study 16","chow"
356,17,14.8,"Study 16","chow"
356,18,NA,"Study 16","chow"
356,19,NA,"Study 16","chow"
356,20,NA,"Study 16","chow"
356,21,NA,"Study 16","chow"
356,22,NA,"Study 16","chow"
356,23,NA,"Study 16","chow"
356,24,NA,"Study 16","chow"
356,25,NA,"Study 16","chow"
356,26,NA,"Study 16","chow"
356,27,NA,"Study 16","chow"
356,28,NA,"Study 16","chow"
356,29,NA,"Study 16","chow"
357,0,16.1,"Study 16","chow"
357,8,16.5,"Study 16","chow"
357,13,16.8,"Study 16","chow"
357,14,17.5,"Study 16","chow"
357,15,17.7,"Study 16","chow"
357,16,17.5,"Study 16","chow"
357,17,16.6,"Study 16","chow"
357,18,17,"Study 16","chow"
357,19,17.6,"Study 16","chow"
357,20,17.6,"Study 16","chow"
357,21,17.4,"Study 16","chow"
357,22,17.9,"Study 16","chow"
357,23,17.7,"Study 16","chow"
357,24,17.5,"Study 16","chow"
357,25,17.7,"Study 16","chow"
357,26,17.8,"Study 16","chow"
357,27,18.1,"Study 16","chow"
357,28,17.6,"Study 16","chow"
357,29,18.3,"Study 16","chow"
358,0,16.9,"Study 16","chow"
358,8,17.8,"Study 16","chow"
358,13,18.4,"Study 16","chow"
358,14,18.7,"Study 16","chow"
358,15,19.3,"Study 16","chow"
358,16,19,"Study 16","chow"
358,17,16.1,"Study 16","chow"
358,18,15,"Study 16","chow"
358,19,14.8,"Study 16","chow"
358,20,15.5,"Study 16","chow"
358,21,16.1,"Study 16","chow"
358,22,17.1,"Study 16","chow"
358,23,18.5,"Study 16","chow"
358,24,17.4,"Study 16","chow"
358,25,17.7,"Study 16","chow"
358,26,17.5,"Study 16","chow"
358,27,17.7,"Study 16","chow"
358,28,18.1,"Study 16","chow"
358,29,17.9,"Study 16","chow"
359,0,17.8,"Study 16","chow"
359,8,19,"Study 16","chow"
359,13,19.1,"Study 16","chow"
359,14,19.6,"Study 16","chow"
359,15,19.9,"Study 16","chow"
359,16,20.2,"Study 16","chow"
359,17,17.1,"Study 16","chow"
359,18,15.8,"Study 16","chow"
359,19,15,"Study 16","chow"
