"mouse_id","day","weight","study","diet"
216,22,NA,"Study 9","LF/LF"
216,24,NA,"Study 9","LF/LF"
216,25,NA,"Study 9","LF/LF"
216,26,NA,"Study 9","LF/LF"
216,27,NA,"Study 9","LF/LF"
216,28,NA,"Study 9","LF/LF"
217,0,17.6,"Study 9","LF/HF"
217,8,18.2,"Study 9","LF/HF"
217,14,19.9,"Study 9","LF/HF"
217,15,20.5,"Study 9","LF/HF"
217,16,20.6,"Study 9","LF/HF"
217,17,21.2,"Study 9","LF/HF"
217,18,18.4,"Study 9","LF/HF"
217,19,17.8,"Study 9","LF/HF"
217,20,17.5,"Study 9","LF/HF"
217,21,17.4,"Study 9","LF/HF"
217,22,16.7,"Study 9","LF/HF"
217,24,19.1,"Study 9","LF/HF"
217,25,20.5,"Study 9","LF/HF"
217,26,20.5,"Study 9","LF/HF"
217,27,20.7,"Study 9","LF/HF"
217,28,20.6,"Study 9","LF/HF"
218,0,17.9,"Study 9","LF/HF"
218,8,18.6,"Study 9","LF/HF"
218,14,20,"Study 9","LF/HF"
218,15,20.7,"Study 9","LF/HF"
218,16,20.6,"Study 9","LF/HF"
218,17,20.4,"Study 9","LF/HF"
218,18,17.4,"Study 9","LF/HF"
218,19,15.9,"Study 9","LF/HF"
218,20,15.4,"Study 9","LF/HF"
218,21,15.8,"Study 9","LF/HF"
218,22,15.2,"Study 9","LF/HF"
218,24,16.8,"Study 9","LF/HF"
218,25,17.8,"Study 9","LF/HF"
218,26,18.5,"Study 9","LF/HF"
218,27,19.8,"Study 9","LF/HF"
218,28,20.4,"Study 9","LF/HF"
219,0,18,"Study 9","LF/HF"
219,8,18.6,"Study 9","LF/HF"
219,14,20.1,"Study 9","LF/HF"
219,15,20.6,"Study 9","LF/HF"
219,16,20.7,"Study 9","LF/HF"
219,17,20.5,"Study 9","LF/HF"
219,18,17.7,"Study 9","LF/HF"
219,19,16.4,"Study 9","LF/HF"
219,20,15.4,"Study 9","LF/HF"
219,21,14.8,"Study 9","LF/HF"
219,22,16.4,"Study 9","LF/HF"
219,24,17.8,"Study 9","LF/HF"
219,25,18.9,"Study 9","LF/HF"
219,26,19.9,"Study 9","LF/HF"
219,27,20,"Study 9","LF/HF"
219,28,20,"Study 9","LF/HF"
220,0,16.9,"Study 9","LF/HF"
220,8,17.2,"Study 9","LF/HF"
220,14,18.8,"Study 9","LF/HF"
220,15,19,"Study 9","LF/HF"
220,16,19.3,"Study 9","LF/HF"
220,17,19.5,"Study 9","LF/HF"
220,18,17,"Study 9","LF/HF"
220,19,15.6,"Study 9","LF/HF"
220,20,14.6,"Study 9","LF/HF"
220,21,13.9,"Study 9","LF/HF"
220,22,13.5,"Study 9","LF/HF"
220,24,15.2,"Study 9","LF/HF"
220,25,16.3,"Study 9","LF/HF"
220,26,17.3,"Study 9","LF/HF"
220,27,18.3,"Study 9","LF/HF"
220,28,18.7,"Study 9","LF/HF"
221,0,20.6,"Study 10","chow"
221,8,21.4,"Study 10","chow"
221,13,21.7,"Study 10","chow"
221,14,21.9,"Study 10","chow"
221,15,20.6,"Study 10","chow"
221,16,NA,"Study 10","chow"
221,17,18.3,"Study 10","chow"
221,18,15.2,"Study 10","chow"
221,19,NA,"Study 10","chow"
221,20,18.1,"Study 10","chow"
221,21,19.8,"Study 10","chow"
221,22,20.7,"Study 10","chow"
221,25,20.6,"Study 10","chow"
221,28,21.6,"Study 10","chow"
222,0,17,"Study 10","chow"
222,8,18.1,"Study 10","chow"
